reference_svt,reference_rs,notes,image_index,designation,quantite_achat,quantite_stock,confidence,product_url,image_url,image_candidate_count,last_scraped_index,image_source,fournisseur,stable_image_url
090001,787-4126,,0,"Fusible automobile Littelfuse 2A, Gris, 32V c.c.",1 paquet de 10 unités,8,,https://fr.rs-online.com/web/p/fusibles-automobiles/7874126,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F7874126-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/090001__787-4126.jpg
090002,5021070,,0,,,,,,,,,,,
090002,563-778,,0,"Fusible automobile RS PRO 60A, Brun roux, 32V c.c.",1 paquet de 10 unités,8,,https://fr.rs-online.com/web/p/fusibles-automobiles/0563778,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/X0563778-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/090002__563-778.jpg
090003,5021072,,0,,,,,,,,,,,
090003,787-4142,handwritten correction; printed looked like 563-740,0,"Fusible automobile Littelfuse 3A, Violet, 32V c.c.",1 paquet de 10 unités,,,https://fr.rs-online.com/web/p/fusibles-automobiles/7874142,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F7874142-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/090003__787-4142.jpg
030013,0315-118-0850,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03151180850',,,,,,,0,,,
030013,5024845,,0,,,,,,,,,,,
030014,0345-118-0234,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03451180234',,,,,,,0,,,
030014,5026465,,0,,,,,,,,,,,
030044,0345-118-0234,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03451180234',,,,,,,0,,,
